#JD                    MAG              ERR               SURVEY Filter
2457706.829040000215   0.087000000000   0.072000000000    ASAS-SN V
2457706.830300000031  -0.035000000000   0.059000000000    ASAS-SN V
2457711.075269999914  -0.029000000000   0.030000000000    ASAS-SN V
2457711.076530000195   0.089000000000   0.035000000000    ASAS-SN V
2457711.077779999934   0.022000000000   0.035000000000    ASAS-SN V
2457711.873990000226   0.008000000000   0.117000000000    ASAS-SN V
2457711.875260000117  -0.125000000000   0.153000000000    ASAS-SN V
2457711.876519999932   0.163000000000   0.204000000000    ASAS-SN V
2457717.033700000029   0.059000000000   0.060000000000    ASAS-SN V
2457717.034959999844   0.014000000000   0.061000000000    ASAS-SN V
2457717.036220000125  -0.056000000000   0.059000000000    ASAS-SN V
2457718.063730000053   0.042000000000   0.051000000000    ASAS-SN V
2457718.064979999792  -0.117000000000   0.086000000000    ASAS-SN V
2457718.066240000073  -0.068000000000   0.051000000000    ASAS-SN V
2457719.059969999827   0.022000000000   0.027000000000    ASAS-SN V
2457719.061220000032   0.050000000000   0.027000000000    ASAS-SN V
2457719.062469999772   0.014000000000   0.025000000000    ASAS-SN V
2457720.010590000078  -0.012000000000   0.022000000000    ASAS-SN V
2457720.011839999817  -0.025000000000   0.021000000000    ASAS-SN V
2457720.013100000098   0.006000000000   0.022000000000    ASAS-SN V
2457737.987360000145   0.093000000000   0.046000000000    ASAS-SN V
2457737.988609999884  -0.026000000000   0.037000000000    ASAS-SN V
2457737.989860000089  -0.012000000000   0.045000000000    ASAS-SN V
2457739.856620000210   0.049000000000   0.032000000000    ASAS-SN V
2457739.857880000025   0.090000000000   0.031000000000    ASAS-SN V
2457739.859149999917   0.020000000000   0.028000000000    ASAS-SN V
2457744.835919999983  -0.058000000000   0.022000000000    ASAS-SN V
2457744.837170000188  -0.023000000000   0.022000000000    ASAS-SN V
2457744.838430000003  -0.005000000000   0.022000000000    ASAS-SN V
2457747.975339999888  -0.016000000000   0.024000000000    ASAS-SN V
2457747.978060000110   0.006000000000   0.024000000000    ASAS-SN V
2457749.975860000122  -0.116000000000   0.032000000000    ASAS-SN V
2457749.977169999853  -0.052000000000   0.027000000000    ASAS-SN V
2457749.978440000210  -0.059000000000   0.033000000000    ASAS-SN V
2457750.964470000006   0.072000000000   0.032000000000    ASAS-SN V
2457750.965720000211   0.018000000000   0.030000000000    ASAS-SN V
2457750.966980000027   0.084000000000   0.062000000000    ASAS-SN V
