# BJD-2454833, Flux, Error
2.994446425676367653e+03 9.800900038442645901e-01 1.129487174284200742e-04
2.994466857718725805e+03 9.799638491838441601e-01 1.129487174284200742e-04
2.994487289660624810e+03 9.792044747365258317e-01 1.129487174284200742e-04
2.994507721802059677e+03 9.788105277898790924e-01 1.129487174284200742e-04
2.994528153843020846e+03 9.783763050884302093e-01 1.129487174284200742e-04
2.994548585883523629e+03 9.779442556341839676e-01 1.129487174284200742e-04
2.994569017923560750e+03 9.778761269167975945e-01 1.129487174284200742e-04
2.994589449963124935e+03 9.778215544230494105e-01 1.129487174284200742e-04
2.994609882002230734e+03 9.777452943672322316e-01 1.129487174284200742e-04
2.994630314040870871e+03 9.779634734309498034e-01 1.129487174284200742e-04
2.994650746079038072e+03 9.777354127769196657e-01 1.129487174284200742e-04
2.994671178016746126e+03 9.779711047967387660e-01 1.129487174284200742e-04
2.994691610153990041e+03 9.784064286632354612e-01 1.129487174284200742e-04
2.994712042190760258e+03 9.789602781531971942e-01 1.129487174284200742e-04
2.994732474127071328e+03 9.793209140025905812e-01 1.129487174284200742e-04
2.994752906262918259e+03 9.800381545292968788e-01 1.129487174284200742e-04
2.994773338297825831e+03 9.810071095618703163e-01 1.129487174284200742e-04
2.994793770232739917e+03 9.814008156688898143e-01 1.129487174284200742e-04
2.994814202367189864e+03 9.823333160640008721e-01 1.129487174284200742e-04
2.994834634401166113e+03 9.833097357996946064e-01 1.129487174284200742e-04
2.994855066334683215e+03 9.843915579402433558e-01 1.129487174284200742e-04
2.994875498467270518e+03 9.854066628024796826e-01 1.129487174284200742e-04
2.994895930499849783e+03 9.863178910266811039e-01 1.129487174284200742e-04
2.994916362431969901e+03 9.875187146905964886e-01 1.129487174284200742e-04
2.994936794563160220e+03 9.884605477830290532e-01 1.129487174284200742e-04
2.994957226594342501e+03 9.897182314824221061e-01 1.129487174284200742e-04
2.994977658625066397e+03 9.907971220096456477e-01 1.129487174284200742e-04
2.994998090654858970e+03 9.927469593350303212e-01 1.129487174284200742e-04
2.995018522684644267e+03 9.949367765354559801e-01 1.129487174284200742e-04
2.995038954713505518e+03 9.957294379837342557e-01 1.129487174284200742e-04
2.995059386842367530e+03 9.961611592032748597e-01 1.129487174284200742e-04
2.995079818770289421e+03 9.967578805695952449e-01 1.129487174284200742e-04
2.995100250798219349e+03 9.978882681342383654e-01 1.129487174284200742e-04
2.995120682925684378e+03 9.994785740272739138e-01 1.129487174284200742e-04
2.995141114852209284e+03 1.000661756664182889e+00 1.129487174284200742e-04
